numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
456;LOURDINHA WERNECK;DF;PSDB;Federação PSDB Cidadania;1º Suplente;Indeferido
456;LOURDINHA WERNECK;DF;PSDB;Federação PSDB Cidadania;2º Suplente;Indeferido
1177;JOSÉ GOMES;DF;PP;Nenhuma;Deputado Federal;Deferido
3020;VALTER SABOIA;DF;NOVO;Nenhuma;Deputado Federal;Deferido
2820;DOUTORA GRAÇAS;DF;PRTB;Nenhuma;Deputado Federal;Deferido
4040;RODRIGO ROLLEMBERG;DF;PSB;Nenhuma;Deputado Federal;Deferido
1551;ALÍRIO;DF;MDB;Nenhuma;Deputado Federal;Deferido
1590;CORONEL VASCONCELOS;DF;MDB;Nenhuma;Deputado Federal;Deferido
1818;ALDEMARIO;DF;REDE;Federação PSOL REDE;Deputado Federal;Deferido
4343;PROFESSOR REGINALDO VERAS;DF;PV;Federação Brasil da Esperança - FE BRASIL;Deputado Federal;Deferido
1324;VANESSA É O BICHO;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Federal;Deferido
1361;RUTH VENCEREMOS;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Federal;Deferido
1313;POLICARPO;DF;PT;Federação Brasil da Esperança - FE BRASIL;Deputado Federal;Deferido
3326;PROFESSOR NIVALDO;DF;PMN;Nenhuma;Deputado Federal;Deferido
4555;LEANDRO NARDY;DF;PSDB;Federação PSDB Cidadania;Deputado Federal;Deferido
7733;FERNANDO SOUZA;DF;SOLIDARIEDADE;Nenhuma;Deputado Federal;Deferido
7770;NERY JUNIOR;DF;SOLIDARIEDADE;Nenhuma;Deputado Federal;Deferido
7710;RODRIGUINHO;DF;SOLIDARIEDADE;Nenhuma;Deputado Federal;Deferido
4445;DELEGADO SÉRGIO BAUTZER;DF;UNIÃO;Nenhuma;Deputado Federal;Deferido
1077;ADILA MARIA;DF;REPUBLICANOS;Nenhuma;Deputado Federal;Deferido
1022;ELISA ROBSON;DF;REPUBLICANOS;Nenhuma;Deputado Federal;Deferido
1033;COMANDANTE ABOUD;DF;REPUBLICANOS;Nenhuma;Deputado Federal;Deferido
5123;ENOCK ESTEVES;DF;PATRIOTA;Nenhuma;Deputado Federal;Deferido
9023;BETHANIA KELLY;DF;PROS;Nenhuma;Deputado Federal;Deferido
